year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe,lon,lat
1993,2.149,7.535,7.065,2.751,,4.750052768,3.827,2.879,2.297,,2.107,1.859,1.5,2.7,7.284,1.61,6.526,6.917,3.99,1.46,3.352,2.602,1.72,1.623,4.286,,4.64,2.693,1.725,3.007,4.909,4.041,5.689,1.7,1.671068168,1.51,1.536,2.484,1.838,6.374,6.17,6.773,4.982,2.968,6.053,4.921,3.029,2.721717727,1.6,,,2.278,1.67,1.28,5.721,,1.75,3.226,3.962,2.179956182,3.916313908,2.110944078,2.019909654,1.741898147,3.524,4.103,1.435145129,6.223,1.26,1.49,7.092,1.502663691,5.747161117,1.81,3.33,1.73,2.5,4.766,5.205,1.76,2.013,5.317,,6.493,6.041,6.458,5.981,1.32,3.401,2.578,5.252,2.899,3.071,1.76450046,1.342,4.893,6.440244934,1.52,5.099,1.68,2.730866808,3.261744826,5.66696894,5.779988923,2.842,5.611476946,,3.799,,1.9,3.562,5.607,2.22,2.8,1.25,2.826,4.958,1.458,2.3,5.633,3.2,5.052,4.512,,1.654,2.641,3.084062268,5.772,3.14,6.269,4.109,3.104,3.048882144,5.709579538,6.316811826,,2.353,4.143740153,3.280174023,4.397,2.024534167,1.74,1.7,1.51,1.394,1.84,3.595,,2.093,6.078,4.969,4.261009606,3.182,,3.06212047,2.085,7.124,1.96,3.164,4.221927515,2.025,3.18,,6.067,5.704,2.21,6.48,3.422,1.986849439,4.83,2.86,7.743,6.348,4.102,1.57,1.86,4.934,,2.05,1.91879884,6.098,4.140976718,5.912,2.909,3.552,4.113,,4.7,1.87,6.42361544,2.153,2.202,1.52,4.282,6.515,4.214400829,1.664171368,3.059,3.714,1.43,1.385,6.505,4.043559141,5.407,5.964,6.146,1.74,5.461,6.674,3.74,,7.566,,6.150372436,6.644,6.140673097,3.796491467,5.635,3.156,1.87,1.33,1.99,4.694,,,4.757,,7.399,2.179665042,1.969465056,5.861,1.956,4.834,3.898,3.095472098,5.597,4.201857754,4.547,4.043559141,6.140673097,2.131,2.907,2.868,,6.013,7.057,1.563,2.256868227,2.466,2.0195,3.8,2.811,3.218,,2.712,3.089,4.798,2.987709255,4.882,2.84,8.048,3.438,6.278,4.346,-86.494095,33.929839
1994,2.108,7.572,6.99,2.672,,4.599175935,3.618,2.828,2.179,,2.128,1.842,1.47,2.52,7.235,1.56,6.446,6.882,3.846,1.37,3.244,2.568,1.713,1.533,4.201,,4.553,2.639,1.725,2.897,4.704,3.904,5.652,1.6695,1.590153698,1.49,1.554,2.432,1.731,6.298,6.073,6.777,4.953,2.918,5.941,4.72,2.941,2.680549758,1.584,,,2.206,1.44,1.24,5.546,,1.81,3.163,3.702,2.081563301,3.819840409,2.026840434,1.970374992,1.698651412,3.461,3.967,1.397829851,6.1,1.19,1.42,7.043,1.457598951,5.691374271,1.85,3.305,1.73,2.4,4.716,5.113,1.74,1.946,5.239,,6.444,6.023,6.381,5.978,1.33,3.254,2.527,5.174,2.881,3.074,1.743487404,1.355,4.826,6.39273327,1.47,4.991,1.64,2.645360267,3.181155762,5.58480675,5.686452923,2.761,5.534919048,1.8,3.723,,1.85,3.231,5.513,2.14,2.9,1.21,2.797,4.787,1.5,2.28,5.535,2.9,4.867,4.445,,1.656,2.66,3.018992822,5.589,3.042,6.21,3.859,3.001,2.985228799,5.637701586,6.27710648,,2.32,4.053449204,3.199276201,4.291,1.93640199,1.57,1.72,1.39,1.308,1.84,3.445,,1.994,6.033,4.6,4.065265472,3.097,,2.976496522,2.033,7.094,1.84,3.097,4.02045714,2.002,2.941,,6.015,5.655,2.25,6.384,3.372,1.96762797,4.703,2.7,7.734,6.303,3.937,1.57,1.87,4.839,,2,1.894690632,5.72,4.066207854,5.808,2.877,3.432,4.056,,4.683,1.81,6.375855695,2.122,2.164,1.45,4.196,6.396,4.161309785,1.642250768,2.946,3.647,1.4,1.4,6.324,3.963596978,5.2,5.897,6.046,1.71,5.326,6.645,3.662,,7.615,,6.086726264,6.601,6.077455112,3.733495757,5.562,3.115,1.67,1.32,1.88,4.563,,,4.617,,7.416,2.080492153,1.920091856,5.772,1.911,4.705,3.707,3.02928227,5.638,3.999454185,4.501,3.963596978,6.077455112,2.04,2.747,2.809,,5.946,7.039,1.47,2.168991223,2.436,2.0015,3.537,2.76,3.147,,2.599,2.904,4.754,2.921920469,4.815,2.71,7.795,3.283,6.231,4.207,-87.89038,32.843192
1995,2.064,7.606,6.918,2.591,,4.441818766,3.418,2.773,2.056,,2.15,1.822,1.42,2.29,7.185,1.56,6.364,6.844,3.713,1.23,3.147,2.515,1.706,1.406,4.109,1.8,4.466,2.588,1.727,2.785,4.5,3.774,5.618,1.639,1.46879617,1.48,1.567,2.372,1.66,6.225,5.978,6.779,4.93,2.862,5.835,4.505,2.85,2.639967412,1.58,,,2.124,1.28,1.25,5.352,,1.8,3.101,3.448,2.010849782,3.731706368,1.959260732,1.910370753,1.654251327,3.403,3.844,1.383082851,5.965,1.16,1.38,6.991,1.415163706,5.63786346,1.81,3.276,1.74,2.5,4.664,5.016,1.71,1.879,5.168,,6.391,6.004,6.294,5.971,1.28,3.116,2.512,5.087,2.872,3.074,1.707836148,1.295,4.756,6.34531999,1.58,4.884,1.57,2.569931302,3.111022562,5.514917883,5.618423055,2.688,5.46413021,,3.651,,1.84,2.941,5.419,2.08,2.9,1.19,2.768,4.63,1.422,2.26,5.459,3.1,4.685,4.374,,1.634,2.72,2.955984093,5.385,2.936,6.158,3.636,2.892,2.923249429,5.567276263,6.235360473,,2.291,3.972594477,3.130037928,4.189,1.863814742,1.55,1.7,1.25,1.236,1.84,3.298,,1.901,5.979,4.237,3.873931089,3.018,,2.903560339,1.977,7.058,1.77,3.042,3.834039118,1.977,2.738,,5.965,5.612,2.14,6.309,3.313,1.943485429,4.574,2.59,7.725,6.262,3.775,1.53,1.87,4.731,,1.99,1.856455627,5.346,3.984832675,5.694,2.852,3.315,4.005,2.33,4.668,1.62,6.330075832,2.086,2.122,1.41,4.108,6.251,4.106361989,1.609511014,2.841,3.588,1.33,1.337,6.172,3.886308796,4.98,5.829,5.945,1.67,5.197,6.608,3.577,,7.654,1.7,6.027496537,6.554,6.018316933,3.665971187,5.487,3.072,1.52,1.29,1.73,4.434,,,4.501,,7.425,2.009422816,1.850706828,5.695,1.867,4.58,3.512,2.964668074,5.684,3.812439305,4.447,3.886308796,6.018316933,1.961,2.606,2.755,,5.883,7.018,1.397,2.096819703,2.401,1.978,3.596,2.703,3.082,,2.481,2.714,4.708,2.86256282,4.751,2.7,7.525,3.144,6.189,4.088,-85.741157,32.818434
1996,2.021,7.629,6.851,2.507,,4.304188863,3.232,2.718,1.938,,2.17,1.796,1.45,2.06,7.135,1.59,6.282,6.801,3.591,1.23,3.062,2.444,1.69,1.335,4.01,,4.381,2.536,1.732,2.677,4.297,3.654,5.589,1.592,1.429317429,1.5,1.573,2.306,1.622,6.154,5.886,6.777,4.913,2.802,5.736,4.287,2.755,2.600557728,1.585,,,2.036,1.18,1.3,5.152,,1.75,3.04,3.208,1.963818214,3.645324149,1.91614192,1.833275257,1.620378316,3.345,3.733,1.396218993,5.825,1.14,1.37,6.931,1.413215206,5.58350183,1.78,3.244,1.75,2.6,4.608,4.916,1.73,1.812,5.102,,6.334,5.983,6.201,5.96,1.26,2.988,2.493,4.993,2.87,3.069,1.700075651,1.191,4.678,6.295506098,1.67,4.777,1.46,2.511834374,3.053017586,5.432460337,5.524006648,2.627,5.387464674,,3.582,,1.88,2.696,5.325,2.12,2.9,1.2,2.738,4.489,1.425,2.13,5.4,2.8,4.504,4.304,,1.574,2.796,2.893830231,5.165,2.826,6.11,3.439,2.772,2.861066109,5.494582001,6.188256771,,2.268,3.890222718,3.071501931,4.094,1.813360368,1.49,1.77,1.16,1.174,1.84,3.16,,1.811,5.912,3.888,3.706754489,2.946,,2.842792139,1.919,7.02,1.99,2.998,3.664103558,1.951,2.57,,5.921,5.572,2.12,6.253,3.238,1.936969214,4.44,2.65,7.716,6.224,3.62,1.53,1.89,4.606,,1.96,1.84571254,4.981,3.917057885,5.571,2.83,3.203,3.961,,4.653,1.59,6.28474773,1.94,2.08,1.44,4.014,6.085,4.054533859,1.602889731,2.745,3.532,1.3,1.27,6.046,3.810682393,4.754,5.758,5.843,1.66,5.077,6.564,3.482,,7.68,,5.97092739,6.503,5.961994197,3.608253877,5.414,3.03,1.47,1.28,1.6,4.311,,,4.402,,7.426,1.962349813,1.781392639,5.628,1.823,4.456,3.323,2.900731569,5.746,3.642264238,4.391,3.810682393,5.961994197,1.896,2.485,2.705,,5.828,6.994,1.332,2.045224731,2.364,1.976,3.32,2.641,3.022,,2.367,2.529,4.662,2.816970063,4.692,2.7,7.251,3.023,6.153,3.989,-87.015959,34.576881
1997,1.978,7.632,6.789,2.422,,4.174583265,3.062,2.666,1.832,,2.187,1.778,1.39,2.07,7.083,1.6,6.199,6.754,3.478,1.09,2.987,2.358,1.662,1.25,3.908,,4.297,2.483,1.74,2.578,4.095,3.546,5.564,1.55,1.381600606,1.48,1.572,2.238,1.605,6.084,5.799,6.774,4.9,2.742,5.642,4.074,2.657,2.56037987,1.593,,,1.946,1.17,1.35,4.958,1.9,1.75,2.983,2.988,1.935593107,3.563895626,1.887927683,1.76172543,1.593291392,3.288,3.629,1.416783854,5.686,1.15,1.32,6.858,1.415710475,5.531444953,1.75,3.209,1.77,2.5,4.544,4.815,1.72,1.749,5.036,,6.273,5.96,6.105,5.941,1.27,2.87,2.69,4.895,2.867,3.061,1.689727057,1.127,4.588,6.242905598,1.69,4.669,1.37,2.462599301,3.00211196,5.351783569,5.43291974,2.579,5.311831739,,3.514,,1.93,2.489,5.23,2.04,2.94,1.22,2.704,4.367,1.388,2,5.348,2.6,4.325,4.235,2.4,1.52,2.861,2.833185838,4.939,2.714,6.059,3.265,2.641,2.80110608,5.421940972,6.137463397,,2.252,3.811546154,3.020390868,4.007,1.778523755,1.47,1.71,1.11,1.116,1.84,3.036,,1.719,5.835,3.56,3.555273184,2.88,,2.790396093,1.864,6.983,1.93,2.963,3.511138259,1.927,2.429,,5.886,5.533,2.04,6.209,3.145,1.928315137,4.3,2.67,7.707,6.19,3.473,1.56,1.86,4.464,,1.96,1.831302988,4.63,3.828682163,5.442,2.81,3.099,3.922,,4.632,1.51,6.240021545,1.9,2.044,1.47,3.911,5.907,4.002600089,1.592106433,2.66,3.473,1.32,1.218,5.936,3.735130611,4.533,5.686,5.741,1.61,4.968,6.512,3.377,,7.691,1.6,5.917215455,6.444,5.907775939,3.537225445,5.345,2.99,1.43,1.25,1.52,4.195,,2.1,4.314,,7.419,1.934235771,1.715891984,5.569,1.781,4.332,3.154,2.838198297,5.826,3.489260506,4.34,3.735130611,5.907775939,1.843,2.379,2.657,,5.78,6.967,1.27,2.00736898,2.328,1.971,3.082,2.576,2.967,,2.266,2.359,4.616,2.777102018,4.637,2.46,6.986,2.919,6.121,3.907,-85.4571,31.237499
1998,1.939,7.61,6.732,2.334,,4.05398058,2.907,2.618,1.747,,2.199,1.762,1.37,2,7.03,1.6,6.118,6.704,3.371,1.11,2.919,2.264,1.619,1.3,3.805,,4.214,2.426,1.75,2.489,3.895,3.452,5.541,1.529333333,1.338472197,1.47,1.562,2.172,1.597,6.014,5.718,6.768,4.889,2.683,5.552,3.876,2.558,2.519594976,1.6,,,1.861,1.16,1.36,4.78,,1.72,2.93,2.796,1.916995239,3.485617232,1.865542643,1.728282964,1.571746805,3.228,3.529,1.417678889,5.553,1.13,1.28,6.769,1.405514314,5.481271865,1.7,3.171,1.78,2.3,4.471,4.716,1.71,1.692,4.969,,6.211,5.935,6.009,5.914,1.24,2.762,2.457,4.797,2.86,3.05,1.677008918,1.016,4.484,6.187208169,1.45,4.561,1.32,2.425279003,2.963356162,5.271582764,5.339665501,2.544,5.238002223,,3.446,,1.94,2.317,5.133,2.05,2.98,1.22,2.666,4.264,1.384,1.8,5.296,2.7,4.146,4.17,,1.448,2.895,2.773030002,4.717,2.606,6.003,3.109,2.499,2.742009166,5.348737543,6.08268842,,2.242,3.735690901,2.981834194,3.928,1.756300477,1.46,1.68,1.09,1.059,1.83,2.93,,1.623,5.748,3.259,3.419029365,2.821,,2.750543138,1.812,6.95,1.84,2.933,3.374750632,1.906,2.31,,5.859,5.495,1.97,6.17,3.036,1.951547804,4.157,2.54,7.698,6.159,3.339,1.63,1.81,4.306,,1.89,1.823514299,4.297,3.754202141,5.308,2.789,3.002,3.886,,4.604,1.44,6.195270055,1.9,2.017,1.47,3.798,5.727,3.952462551,1.589315115,2.585,3.407,1.32,1.232,5.835,3.658897274,4.325,5.614,5.639,1.48,4.872,6.455,3.263,,7.686,,5.865008573,6.377,5.855644616,3.474988313,5.282,2.955,1.37,1.23,1.5,4.09,,2.04,4.232,,7.405,1.915749184,1.678312176,5.515,1.742,4.207,3.013,2.776335018,5.921,3.353377696,4.3,3.658897274,5.855644616,1.801,2.287,2.607,,5.741,6.937,1.207,1.983618034,2.295,1.999,2.815,2.509,2.915,,2.185,2.213,4.573,2.746180649,4.587,2.57,6.738,2.829,6.093,3.839,-87.14808,32.951237
1999,1.903,7.561,6.683,2.246,,3.943607192,2.768,2.577,1.685,,2.203,1.755,1.34,2.07,6.976,1.62,6.038,6.65,3.269,1.23,2.856,2.166,1.562,1.31,3.703,,4.133,2.365,1.762,2.413,3.701,3.371,5.52,1.508666667,1.307854818,1.48,1.546,2.11,1.595,5.943,5.645,6.76,4.88,2.627,5.466,3.697,2.459,2.478580184,1.603,,,1.783,1.13,1.36,4.622,,1.73,2.882,2.635,1.904930644,3.41300609,1.8532199,1.668564777,1.544585486,3.166,3.432,1.431338943,5.43,1.17,1.3,6.664,1.407910061,5.433892104,1.73,3.132,1.81,2.3,4.39,4.62,1.68,1.643,4.899,,6.147,5.908,5.913,5.878,1.23,2.666,2.415,4.699,2.846,3.036,1.67127751,0.981,4.367,6.128795671,1.38,4.452,1.28,2.387702724,2.924292632,5.19524788,5.261062139,2.523,5.162744563,,3.379,,1.9,2.177,5.036,1.99,2.965,1.23,2.623,4.178,1.342,1.7,5.239,2.6,3.971,4.11,,1.41,2.89,2.71340557,4.506,2.502,5.939,2.97,2.35,2.684094381,5.275841899,6.02473453,,2.239,3.664373287,2.942815445,3.857,1.73266507,1.46,1.74,1.16,1.002,1.83,2.842,,1.527,5.653,2.993,3.297493012,2.766,5.71,2.710602473,1.765,6.921,1.73,2.906,3.255127387,1.888,2.214,,5.84,5.455,2.05,6.133,2.913,1.957272594,4.014,2.48,7.689,6.131,3.218,1.65,1.85,4.135,,1.97,1.812406325,3.989,3.695122552,5.172,2.767,2.917,3.85,,4.569,1.37,6.150613172,1.97425,1.999,1.5,3.678,5.55,3.905572954,1.583696574,2.52,3.329,1.3,1.157,5.737,3.583358142,4.137,5.542,5.541,1.47,4.789,6.39,3.144,,7.664,,5.813969316,6.303,5.805019344,3.423844178,5.226,2.923,1.33,1.21,1.5,3.997,,2.04,4.152,,7.384,1.903762567,1.619920882,5.466,1.705,4.084,2.903,2.715360572,6.023,3.234339045,4.27,3.583358142,5.805019344,1.772,2.208,2.556,,5.711,6.903,1.121,1.959384334,2.265,2.0075,2.72,2.442,2.867,,2.129,2.096,4.531,2.716363262,4.541,2.88,6.514,2.754,6.065,3.786,-87.285437,34.483266
2000,1.872,7.485,6.639,2.157,,3.845712512,2.644,2.542,1.648,,2.2,1.756,1.36,2,6.92,1.67,5.962,6.592,3.169,1.26,2.795,2.073,1.497,1.317,3.601,1.74,4.051,2.3,1.775,2.346,3.515,3.304,5.5,1.488,1.317743134,1.5,1.526,2.055,1.596,5.87,5.58,6.751,4.871,2.572,5.384,3.539,2.363,2.438238442,1.603,,,1.716,1.15,1.38,4.484,,1.77,2.839,2.514,1.896443691,3.342781764,1.850592774,1.661535099,1.556623551,3.102,3.34,1.47089341,5.321,1.22,1.36,6.543,1.441287139,5.38951105,1.73,3.09,1.89,2.6,4.3,4.533,1.64,1.608,4.826,,6.082,5.879,5.82,5.834,1.25,2.582,2.329,4.598,2.824,3.017,1.700960752,1.032,4.237,6.068086342,1.39,4.344,1.32,2.357142372,2.889772359,5.117750824,5.179936651,2.512,5.086994053,,3.311,,1.89,2.067,4.94,2.08,2.95,1.26,2.577,4.109,1.359,1.8,5.178,2.4,3.805,4.058,,1.467,2.845,2.654320815,4.311,2.405,5.866,2.851,2.202,2.626889923,5.203247017,5.964519713,1.57,2.24,3.596796332,2.907509378,3.792,1.721373756,1.39,1.76,1.25,0.95,1.83,2.771,,1.435,5.551,2.771,3.193506238,2.716,,2.675060433,1.723,6.897,1.68,2.878,3.153754033,1.875,2.141,,5.826,5.413,1.99,6.098,2.784,1.998927144,3.88,2.59,7.679,6.106,3.111,1.72,1.85,3.955,,1.98,1.830897407,3.716,3.638493554,5.037,2.744,2.845,3.811,1.83,4.525,1.37,6.10633073,2.0485,1.991,1.55,3.553,5.383,3.861960377,1.614607092,2.463,3.236,1.31,1.195,5.64,3.507214774,3.971,5.471,5.448,1.6,4.719,6.319,3.022,,7.627,1.48,5.764086579,6.223,5.755293112,3.374665682,5.176,2.895,1.3,1.26,1.54,3.915,,2.08,4.076,,7.354,1.895273422,1.615858819,5.419,1.671,3.967,2.824,2.655332969,6.113,3.133569292,4.25,3.507214774,5.755293112,1.753,2.142,2.503,,5.689,6.866,1.11,1.943725366,2.237,2.056,2.58,2.379,2.822,,2.06,2.01,4.492,2.696002898,4.503,2.95,6.313,2.694,6.036,3.748,-86.047465,34.661724
2001,1.846,7.387,6.601,2.068,,3.760436808,2.533,2.512,1.634,,2.187,1.739,1.33,1.8,6.862,1.67,5.889,6.531,3.07,1.21,2.731,1.993,1.432,1.286,3.497,1.75,3.969,2.232,1.785,2.284,3.342,3.248,5.48,1.5104,1.27550928,1.38,1.508,2.009,1.597,5.793,5.524,6.74,4.862,2.516,5.307,3.399,2.275,2.398840352,1.598,,,1.66,1.15,1.35,4.359,,1.74,2.799,2.438,1.890001851,3.276037593,1.835640265,1.653266823,1.542899292,3.037,3.253,1.456742738,5.227,1.23,1.32,6.407,1.422973089,5.348436313,1.73,3.044,1.9,2.3,4.204,4.455,1.63,1.589,4.753,,6.015,5.849,5.73,5.785,1.25,2.512,2.51,4.49,2.794,2.992,1.66464072,0.931,4.098,6.005222908,1.46,4.237,1.31,2.329234685,2.858458132,5.042328329,5.101191179,2.509,5.013186129,,3.244,,1.94,1.983,4.847,1.95,2.92,1.25,2.529,4.056,1.33,1.9,5.112,2.4,3.654,4.015,,1.297,2.772,2.595851264,4.137,2.313,5.785,2.751,2.06,2.56915053,5.130936446,5.901563021,1.52,2.246,3.53211036,2.876106079,3.732,1.709763821,1.29,1.66,1.22,0.906,1.83,2.715,,1.354,5.447,2.596,3.106122279,2.669,,2.643261114,1.683,6.878,1.48,2.845,3.06966347,1.865,2.095,,5.813,5.369,1.91,6.065,2.657,1.978204982,3.763,2.43,7.669,6.083,3.019,1.71,1.78,3.772,,1.97,1.800978826,3.484,3.575747689,4.904,2.72,2.789,3.766,,4.475,1.31,6.062690386,1.9346,1.988,1.45,3.431,5.231,3.817334442,1.587237389,2.415,3.124,1.27,1.223,5.542,3.432358593,3.83,5.402,5.365,1.41,4.659,6.242,2.903,,7.577,1.58,5.715351488,6.139,5.706678425,3.320491115,5.131,2.868,1.2,1.21,1.57,3.848,1.95,1.98,4.007,,7.315,1.888785592,1.602785737,5.372,1.641,3.862,2.77,2.596340245,6.171,3.050039052,4.236,3.432358593,5.706678425,1.744,2.088,2.451,,5.675,6.823,1.085,1.930283483,2.211,2.0305,2.46,2.321,2.779,,1.9,1.954,4.454,2.666301037,4.476,2.8,6.13,2.652,6.003,3.725,-85.89218,31.049
2002,1.823,7.272,6.567,1.981,,3.68728068,2.432,2.486,1.635,,2.166,1.756,1.39,1.8,6.801,1.65,5.82,6.468,2.973,1.23,2.663,1.931,1.374,1.24,3.392,1.77,3.885,2.163,1.793,2.22,3.183,3.2,5.459,1.5014,1.253312738,1.39,1.496,1.972,1.6,5.713,5.475,6.73,4.854,2.458,5.235,3.271,2.195,2.36212691,1.59,,,1.614,1.17,1.34,4.24,1.9,1.72,2.762,2.403,1.885434849,3.213509305,1.827932183,1.683800827,1.555788579,2.972,3.173,1.459446757,5.145,1.25,1.36,6.262,1.42115651,5.309273975,1.72,2.995,1.88,2.6,4.105,4.388,1.63,1.586,4.681,,5.947,5.818,5.641,5.731,1.28,2.455,2.566,4.372,2.758,2.961,1.650104227,0.941,3.956,5.941493445,1.42,4.132,1.3,2.305144457,2.831138798,4.973145901,5.038167524,2.511,4.940922426,1.65,3.176,,1.97,1.922,4.758,1.93,2.89,1.27,2.482,4.013,1.32,2,5.045,2.4,3.521,3.979,2.107,1.166,2.69,2.538184149,3.983,2.225,5.699,2.671,1.933,2.512647103,5.059913578,5.837409399,1.47,2.254,3.473484068,2.848597291,3.674,1.704057774,1.23,1.63,1.26,0.875,1.83,2.67,,1.29,5.342,2.465,3.034536278,2.623,,2.615641047,1.644,6.861,1.45,2.807,3.001587127,1.858,2.078,,5.794,5.323,1.94,6.033,2.539,1.968238347,3.67,2.33,7.658,6.06,2.941,1.73,1.75,3.593,,1.89,1.783849517,3.293,3.535048891,4.774,2.698,2.749,3.712,,4.422,1.25,6.01902592,1.8317,1.988,1.46,3.315,5.094,3.775604394,1.579288232,2.371,2.996,1.27,1.286,5.443,3.357392074,3.708,5.334,5.292,1.37,4.606,6.158,2.792,,7.517,1.57,5.667873742,6.054,5.659602674,3.282640564,5.09,2.84,1.19,1.21,1.65,3.792,,2.04,3.948,,7.268,1.884158544,1.623949387,5.326,1.616,3.773,2.73,2.538595433,6.182,2.982516119,4.221,3.357392074,5.659602674,1.744,2.046,2.4,,5.666,6.776,1.126,1.921247427,2.184,2.0205,2.52,2.271,2.739,,2.21,1.92,4.416,2.643688591,4.46,2.66,5.954,2.624,5.963,3.718,-85.969728,32.930727
